Source;Agence;Réseau;Adresse;Adresse2;CP;VILLE;E-mail;TEL;FAX;WEB;;;;
NDV;GHOZZI VOYAGES;(Selectour);14, rue de Bretagne;;75003;PARIS;ghozzi@selectour.com;01 42 74 24 22;01 42 74 19 83;;;;;
NDV;Boiloris/Ambassade Fram;;14, rue de France;;77300;FONTAINEBLEAU;fontainebleau@boiloris.com;01 75 44 85 70;01 78 94 82 16;www.ambassade-fram-boiloris75.com;;;;
NDV;Kuoni Voyages;;14, rue de la Barre;;69002;LYON;lyon@kuoni.fr;04 78 42 57 51;04 78 42 23 77;www.kuoni.fr;;;;
NDV;JLB Voyages;;14, rue de la Libération;;81100;CASTRES;jlb.voyages@wanadoo.fr;05 63 59 62 30;05 63 72 30 35;;;;;
NDV;Indépendant Voyages/CWV;;14, rue de la Loge;;66000;PERPIGNAN;ag.ltperpignan.independantvoyages@carlsonwagonlit.fr;0 826 825 329;0 826 825 429;;;;;
NDV;Nouvelles Frontières;;14, rue de la Mésange;;67000;STRASBOURG;strasbourg-mesange.nf@nouvelles-frontieres.fr;0 825 000 825;03 88 25 33 15;;;;;
NDV;Vendée Voyages/CWV;;14, rue de la République;;85200;FONTENAY-LE-COMTE;vendee.voyages@wanadoo.fr;02 51 51 11 15;02 51 69 70 99;;;;;
NDV;KOMPAS FRANCE;;14, rue de la Source;;75016;PARIS;info@kompas-france.com;01 53 92 27 80;01 42 15 20 52;;;;;
NDV;Thomas Cook Voyages;;14, rue de l'Assemblée Nationale;;56100;LORIENT;lorient@thomascook.fr;02 97 64 53 07;02 97 21 94 73;www.thomascook.fr;;;;
NDV;Thomas Cook Voyages;;14, rue de l'Eglise;;33200;BORDEAUX-CAUDERAN;bordeaux.cauderan@thomascook.fr;05 57 22 57 50;05 57 22 57 59;www.thomascook.fr;;;;
NDV;Votre Voyage;(Afat);14, rue de l'église;;77170;BRIE-COMTE-ROBERT;contact@votrevoyage.fr;01 60 62 74 10;01 60 62 74 14;;;;;
NDV;Giraux Voyages;(Selectour);14, rue de l'Hôtel Dieu;;95300;PONTOISE;giraux-pontoise@selectour.com;01 34 43 64 64;01 30 30 32 53;www.giraux-voyages.fr;;;;
NDV;Océane Voyages/Jet Tours;(Afat);14, rue de Lyon;;29200;BREST;info@jettoursbrest.com;02 98 46 58 00;02 98 46 65 50;www.histoiredevoyages.fr;;;;
NDV;LIAISONS MONDIALES/SRT;;14, rue de Rémusat;;75016;PARIS;contactlm2@liaisonsmondiales.fr;01 45 25 04 05;01 40 50 13 16;www.liaisonsmondiales.fr;;;;
NDV;Nouvelles Frontières /El Auxerre;;14, rue d'Egleny;;89000;AUXERRE;auxerre.nf@nouvelles-frontieres.fr;03 86 52 08 08;03 86 52 32 13;www.nouvelles-frontieres.fr;;;;
NDV;Des fourmis dans les jambes;;14, rue d'Epinal;;25000;BESANCON;contact@desfourmisdanslesjambes.fr;03 81 83 12 70;0 826 70 91 11;www.desfourmisdanslesjambes.fr;;;;
NDV;AMEN VOYAGE INT.;;14, rue des 3-Couronnes;;75011;PARIS;amen.voyage@wanadoo.fr;01 48 05 29 16;01 53 36 72 22;;;;;
NDV;Club Voyages;;14, rue des Bains;;73100;AIX-LES-BAINS;aixlesbains@clubvoyages.com;04 79 35 32 50;04 79 61 37 92;www.club-voyages.fr;;;;
NDV;Nouveaux Espaces;(Les);14, rue des Boulangers;;68100;MULHOUSE;info@nouveaux-espaces.fr;03 89 56 63 14;03 89 56 63 17;www.hopla.fr;;;;
NDV;Nouvelles Frontières/L'Arpenteur du Monde;;14, rue des Boulangers;;68000;COLMAR;colmar.nf@nouvelles-frontieres.fr;03 89 24 07 08;03 89 23 44 77;www.nouvelles-frontieres.fr;;;;
NDV;Voyages Mugler Ringenbach;;14, rue des Chevaliers;;67600;SELESTAT;;03 88 92 16 17;03 88 82 98 82;;;;;
NDV;Illiberis Voyages;(Selectour);14, rue des Cigognes;;66750;ARGELES-SUR-MER;illiberis-argeles@selectour.com;04 68 81 40 00;04 68 81 24 08;;;;;
NDV;Royal Manta Voyages;;14, rue des Lilas d'Espagne;;92400;COURBEVOIE;contact@royalmanta.fr;01 40 15 63 59;01 40 15 60 73;www.royalmanta.net;;;;
NDV;Sud Travel Languedoc;;14, rue des Parêts;;34160;RESTINCLIERES;jeanmarc@sudtravel.com;0 877 480 756;0 877 480 756;www.sudtravel.com;;;;
NDV;SIRENES VOYAGES;;14, rue des Poissonniers;;75018;PARIS;sirenes.voyages@wanadoo.fr;01 42 62 38 38;01 42 62 77 04;;;;;
NDV;Brétigny Voyages/Thomas Cook Voyages;;14, rue d'Estienne d'Orves;;91220;BRETIGNY-SUR-ORGE;bretigny@thomascook.fr;01 60 84 28 36;01 60 84 89 97;;;;;
NDV;SCANDINAVIAN INCOMING;;14, rue Drouot;;75009;PARIS;reservations@scandinavian-incoming.fr;01 55 33 53 43;01 55 33 53 44;www.scancoming.com;;;;
NDV;MG Voyages;(Tourcom);14, rue du Commandant Pilot;;92200;NEUILLY-SUR-SEINE;mg.voyages@wanadoo.fr;01 46 37 52 09;01 46 41 06 70;;;;;
NDV;Agence de Boüard;(Selectour);14, rue du Docteur Leroy;;72000;MANS (LE);debouard-lemans@selectour.com;02 43 23 39 40;02 43 23 46 30;www.selectour-debouard.com;;;;
NDV;Voyages 27;(Selectour);14, rue du Duc de Bouillon;;27000;EVREUX;voyages27-evreux@selectour.com;02 32 31 62 60;02 32 31 62 16;;;;;
NDV;VOYAGES EL CORTE INGLES;;14, rue Edouard VII (Affaires et Réceptif);;75009;PARIS;paris@viajeseci.es;01 53 43 88 80;01 53 43 88 81;;;;;
NDV;Donatello;;14, rue Faidherbe;;59000;LILLE;lille@donatello-to.com;03 20 55 61 16;03 20 31 51 08;www.donatello.fr;;;;
NDV;ANTIPODES VOYAGES;(Tourcom);14, rue Gaillon;;75002;PARIS;reservations@antipodes-voyages.fr;01 53 05 92 66;01 40 06 05 41;;;;;
NDV;HIS INTERNATIONAL TOURISME FRANCE;;14, rue Gaillon;;75002;PARIS;outbound@his-tours.fr;01 53 05 34 00;01 53 05 34 18;www.his-tours.fr;;;;
NDV;Darbier Voyages;(Tourcom);14, rue Gaston Darley;;77140;NEMOURS;voyages-darbier-n@wanadoo.fr;01 64 28 45 08;01 64 29 19 34;;;;;
NDV;CARLSON WAGONLIT VOYAGES;;14, rue Guichard;;75016;PARIS;ag.ltparis.passy@carlsonwagonlit.fr;0 826 825 476;0 826 825 576;;;;;
NDV;Donatello;;14, rue Jean de Riouffe;;06400;CANNES;cannes@donatello-to.com;04 93 39 47 82;04 92 98 08 69;www.donatello.fr;;;;
NDV;Vernin Voyages;(Selectour);14, rue Jean Jaurès;;77130;MONTEREAU;vernin-montereau@selectour.com;01 60 96 11 11;01 60 96 12 12;;;;;
NDV;Jousset Voyages;(Tourcom);14, rue Jeanne d'Arc;;53100;MAYENNE;agence@joussetvoyages.com;02 43 04 36 76;02 43 04 42 44;www.jousset-voyages.com;;;;
NDV;CLUB MED VOYAGES;;14, rue Lafayette;;75009;PARIS;nadine.avril@clubmed.com;01 47 70 58 58;01 47 70 04 25;;;;;
NDV;Thomas Cook Voyages;;14, rue Pasqualini;;06800;CAGNES-SUR-MER;info@outremers.com;04 92 02 02 12;04 93 20 52 93;www.thomascook.fr;;;;
NDV;Nouvelles Frontières;;14, rue René Pouteau;;77000;MELUN;melun.nf@nouvelles-frontieres.fr;01 64 10 43 43;01 64 10 43 45;www.nouvelles-frontieres.fr;;;;
NDV;Monts Jura Tourisme/Ambassade Fram;;14, rue Renne Char;;25000;BESANCON;chateaufarine@pretapartir.fr;03 81 21 22 80;03 81 52 97 17;;;;;
NDV;Bourbon Voyages;(Selectour);14, rue Rontaunay;;97400;SAINT-DENIS;bourbon.s-denis@travel-run.com;02 62 94 76 76;02 62 41 03 09;www.bourbonvoyages.fr;;;;
NDV;Nouvelles Frontières;;14, rue Saint Pierre;;28100;DREUX;dreux.nf@nouvelles-frontieres.fr;02 37 42 10 42;02 37 64 16 06;www.nouvelles-frontieres.fr;;;;
NDV;AUSTRALIE AUTREMENT;;14, rue Servandoni;;75006;PARIS;info@nzvoyages.com;01 40 46 99 15;01 56 24 91 13;www.nzvoyages.com;;;;
NDV;NOUVELLE ZELANDE VOYAGES;;14, rue Servandoni;;75006;PARIS;info@nzvoyages.com;01 40 46 99 15;01 56 24 91 13;www.nzvoyages.com;;;;
NDV;Heliotours/Tourisme et Evasion;(Tourcom);14, rue St-Denis;;34000;MONTPELLIER;heliotours34@aol.com;04 67 58 29 79;04 67 58 33 19;;;;;
NDV;Thomas Cook Voyages;;14, rue Ville Pépin;;35400;SAINT-MALO;saint.malo@thomascook.fr;02 99 19 79 90;02 99 19 79 99;www.thomascook.fr;;;;
NDV;OTOM Voyages;(Afat);14, Terrasse Bellini;;92800;PUTEAUX;otom.voyages@wanadoo.fr;01 49 67 07 00;01 49 67 07 14;www.otomvoyages.com;;;;
NDV;Carlson Wagonlit Voyages/Faure Tourisme;;140 ter, av. Franklin Roosevelt;;69500;BRON;faure-tourisme-bron@nerim.net;04 72 37 18 77;04 72 37 25 07;;;;;
NDV;PALM'AIR;;140, av. de St-Ouen;;75018;PARIS;palmairvoyages@wanadoo.fr;01 58 60 19 15;01 58 60 19 21;;;;;
NDV;Havas Voyages/A.G.I.S. Voyages;;140, av. Joseph Kessel;;78960;VOISINS-LE-BRETONNEUX;commercial@agisvoyages.com;01 39 44 79 90;01 30 64 10 90;www.agisbt.com;;;;
NDV;Marietton Voyages;(Selectour);140, cours Emile Zola;;69100;VILLEURBANNE;villeurbanne@mariettonvoyages.com;04 37 42 84 41;04 78 79 29 05;;;;;
NDV;Lesage Voyages;;140, Grand Rue;;67500;HAGUENAU;haguenau@voyages-lesage.com;03 88 73 71 11;03 88 73 71 14;www.voyages-lesage.com;;;;
NDV;Thomas Cook Voyages;;140, Grande rue Ch. de Gaulle;;94130;NOGENT-SUR-MARNE;nogent@thomascook.fr;01 48 77 95 05;01 48 77 95 09;www.thomascook.fr;;;;
NDV;DONATELLO;;140, rue du Fbg St-Honoré;;75008;PARIS;sainthonore@donatello-to.com;01 53 83 00 00;01 45 61 24 81;;;;;
NDV;CLUB MED VOYAGES;;140, rue du Fg St-Honoré;;75008;PARIS;susan.schiricke@clubmed.com;01 42 89 07 07;01 42 89 26 04;;;;;
NDV;Neige, Soleil, Tourisme, Loisirs;;140, rue Léon Geffroy;;94400;VITRY-SUR-SEINE;nstl@nstl.fr;01 47 18 90 00;01 47 18 90 10;;;;;
NDV;Sea Voyages;;140, rue Léon Geffroy;;94400;VITRY-SUR-SEINE;sea.voyages@wanadoo.fr;01 47 18 12 01;01 47 18 12 09;www.seavoyages.fr;;;;
NDV;Originales Aventures Organisation;;140, rue Pré Magne;ZA Les Andrés;69126;BRINDAS;info@oao.fr;04 78 45 00 82;04 78 45 06 42;www.oao.fr;;;;
NDV;Voyages Evasion/Thomas Cook Voyages;;14-16, av. Jean-Jaurès;;08300;RETHEL;evasion.rethel@thomascookfr.com;03 24 38 30 99;03 24 38 21 24;;;;;
NDV;Nouvelles Frontières;;14-16, av. Robert Soleau;;06600;ANTIBES;antibes.nf@nouvelles-frontieres.fr;04 93 34 02 45;04 93 34 90 71;www.nouvelles-frontieres.fr;;;;
NDV;Prest'Voyages 92;;14-16, rue Carnot;;92300;LEVALLOIS;prestvoyages92@wanadoo.fr;01 47 57 40 00;01 47 57 33 62;;;;;
NDV;Havas Voyages/Le Beau Voyage;;142, rue de Vesle;;51100;REIMS;lebeauvoyage@wanadoo.fr;03 26 47 10 11;03 26 40 13 41;;;;;
NDV;Haute Provence Voyages/Thomas Cook Voyages;;142, rue Droite;;04200;SISTERON;hp.sisteron@thomascookfr.com;04 92 61 03 69;04 92 62 61 33;;;;;
NDV;Iles-resa;;143, av. Charles de Gaulle;;92200;NEUILLY-SUR-SEINE;contact@iles-resa.com;01 55 24 25 25;01 55 24 25 30;www.iles-resa.com;;;;
NDV;VOYAGES BARBES;(Afat);143, rue de Charonne;;75011;PARIS;vbtours@afatvoyages.fr;01 43 48 66 44;01 43 48 56 70;;;;;
NDV;Sunset Voyages;(Tourcom);143, rue Pierre Corneille;;69003;LYON;lyon@sunsetvoyages.com;04 78 14 51 00;04 37 48 09 17;www.sunsetvoyages.com;;;;
NDV;Go Tours/Plein Soleil;(Tourcom);143, rue Saint Jean;;14000;CAEN;pleinsoleil.caen@gotours.fr;02 31 85 12 20;02 31 85 12 22;;;;;
NDV;CENTRALE LOISIRS VOYAGES;(Tourcom);144 bis, bd du Montparnasse;;75014;PARIS;montparnasse@centralevoyages.fr;01 43 27 01 20;01 45 38 94 62;;;;;
NDV;Vip Tours;(Afat);144, av. Gabriel Peri;;92230;GENNEVILLIERS;viptours@wanadoo.fr;01 41 21 40 00;01 41 21 39 99;;;;;
NDV;WORLD TRAVEL AGENCY;(Manor);144, bd Haussmann;;75008;PARIS;wta2@wanadoo.fr;01 53 53 73 00;01 53 96 09 06;;;;;
NDV;Voyages Carrefour;;145, rue Anatole France;;69100;VILLEURBANNE;carrefour_voyages_villeurbanne@carrefour.com;04 37 43 14 02;04 37 43 14 01;www.voyagescarrefour.com;;;;
NDV;CHANTOURS;;145, rue de Tolbiac;;75013;PARIS;chantour@club-internet.fr;01 45 82 72 00;01 45 82 41 08;;;;;
NDV;Agence des Grands Crus;;146, av. d'Eysines;;33000;BORDEAUX;agence-des-grands-crus@wanadoo.fr;05 57 22 16 31;05 57 22 19 24;www.agence-des-grands-crus.com;;;;
NDV;WASTEELS VOYAGES/THOMAS COOK VOYAGES;;146, bd de Ménilmontant;;75020;PARIS;parismenilmontant@wasteels.fr;01 43 58 79 54;01 43 58 20 61;;;;;
NDV;Voyageurs du Monde;;147, bd de la Liberté;;59000;LILLE;lille@vdm.com;0 892 234 634;03 20 06 76 31;www.vdm.com;;;;
NDV;CIR Agence Calmettes;;147, domaine les Michels;;13790;PEYNIER;cirfrance@aol.com;04 42 53 03 64;;;;;;
NDV;Mille et une Nuits;(Selectour);147, rue de Verdun;;92150;SURESNES;1001nuits-suresnes@selectour.com;01 47 72 30 00;01 45 06 50 38;;;;;
NDV;Grand Cerf Voyages/Thomas Cook Voyages;;147, rue E. Vaillant;;95870;BEZONS;grandcerf.voyages@wanadoo.fr;01 39 96 47 47;01 39 96 47 49;;;;;
NDV;BOILORIS/JET TOURS/THOMAS COOK VOYAGES;;148, rue Ordener;;75018;PARIS;ordener@boiloris.fr;01 53 09 95 45;01 53 09 95 46;;;;;
NDV;MT VOYAGES;;149, av. de Choisy;;75013;PARIS;mtvoyage@free.fr;01 45 82 00 40;01 45 86 75 30;www.mtvoyage.com;;;;
NDV;CITYRAMA-S.P.E.T.;;149, rue St Honoré;;75001;PARIS;;01 44 55 60 21;01 44 55 60 08;;;;;
NDV;LC INTERNATIONAL;(Manor);15 bis, rue de Marignan;;75008;PARIS;lci.marignan@wanadoo.fr;01 42 89 60 01;01 42 89 60 29;;;;;
NDV;Kuoni Voyages;;15, av. Alsace Lorraine;;38000;GRENOBLE;grenoble@kuoni.fr;04 76 87 83 42;04 76 12 17 30;www.kuoni.fr;;;;
NDV;F.B. Voyages;(Afat);15, av. André René Guibert;;78170;CELLE-SAINT-CLOUD (LA);fb.voyages.lacelle@wanadoo.fr;01 30 08 29 29;01 39 18 08 18;;;;;
NDV;Voyages Landes/Thomas Cook Voyages;;15, av. de la République;;15000;AURILLAC;landes-aur@triangle-voyages.com;04 71 45 64 60;04 71 45 64 69;www.triangle-voyages.com;;;;
NDV;Tropic Voyages;(Selectour);15, av. de la Victoire;;97400;SAINT-DENIS;tropic.s-denis@travel-run.com;02 62 21 03 54;02 62 21 54 44;;;;;
NDV;R.E.V.E/Ambassade Fram;;15, av. de Paris;;19100;BRIVE;reve@revevoyages.fr;05 55 24 01 01;05 55 23 14 09;www.revevoyages.fr;;;;
NDV;Equinoxe Voyages/Ambassade Fram;;15, av. des Ecoles;;06110;CANNET ROCHEVILLE (Le);equinoxe.voyages@wanadoo.fr;04 93 46 33 62;04 93 46 33 24;;;;;
NDV;Jourdan Voyages;;15, av. du 4 Septembre;;13220;CHATEAUNEUF-LES-MARTIGUES;voyages.jourdan@wanadoo.fr;04 42 76 30 85;04 42 76 30 39;;;;;
NDV;Carré Bleu Voyages/Jancarthier Voyages;(Manor);15, av. du Général-de-Gaulle;;94160;SAINT-MANDE;stmande@jancarthier.fr;01 41 79 05 52;01 41 79 06 52;;;;;
NDV;Biarritz Voyages/Jet Tours;(Afat);15, av. du Jardin Public;;64200;BIARRITZ;biarritz.voyages@wanadoo.fr;05 59 22 13 22;05 59 22 73 22;www.biarritzvoyages.com;;;;
NDV;Club Voyages;;15, av. Félix Viallet;;38000;GRENOBLE;grenoble.viallet@clubvoyages.com;04 76 47 54 96;04 76 87 07 49;;;;;
NDV;Wasteels Voyages/Thomas Cook Voyages;;15, av. Mal Foch;;59300;VALENCIENNES;valenciennes@wasteels.fr;03 27 46 05 55;03 27 41 26 48;www.wasteels.fr;;;;
NDV;Nouvelles Frontières;;15, avenue Alsace Lorraine;;38000;GRENOBLE;grenoble.nf@nouvelles-frontieres.fr;04 76 87 16 53;04 76 47 05 23;www.nouvelles-frontieres.fr;;;;
NDV;MNV-Messageries Nationales;(Selectour);15, bd Aristide Briand;;26200;MONTELIMAR;mnv-montelimar@selectour.com;04 75 01 09 66;04 75 51 85 66;www.mnv-voyages.com;;;;
NDV;Destination;;15, bd d'Anvers;;67000;STRASBOURG;incoming@destination-fr.com;03 88 60 70 70;03 88 61 93 32;www.destination-fr.com;;;;
NDV;Liberté Voyages;(Selectour);15, bd de la Liberté;;94170;PERREUX (LE);liberte-leperreux@selectour.com;01 43 24 52 36;01 48 72 07 44;www.liberte-selectour.com;;;;
NDV;Monaco Voyages;(Tourcom);15, bd Princesse Charlotte;;98000;MONACO;mcmvges.charlotte@etourcom.com;(377) 97 97 82 50;(377) 97 97 82 59;;;;;
NDV;Vikings Voyages/Ambassade Fram;;15, bd Schuman;;50100;CHERBOURG;infos-cherbourg@vikings-voyages.com;02 33 94 08 80;02 33 94 08 81;;;;;
NDV;Carlson Wagonlit Voyages;;15, bis rue du Congrès;;06000;NICE;ag.ltnice@carlsonwagonlit.fr;04 93 82 16 96;04 93 82 12 01;;;;;
NDV;Médoc Voyages;(Tourcom);15, cours G. Mandel;;33340;LESPARRE;medoc-voyages@wanadoo.fr;05 57 22 10 93;;www.medoc-voyages.fr;;;;
NDV;Nouvelles Frontières;;15, cours Ladoucette;;05000;GAP;gap.nf@nouvelles-frontieres.fr;04 92 53 02 25;04 92 53 02 22;www.nouvelles-frontieres.fr;;;;
NDV;Agence;(L') (Afat);15, cours Mirabeau;;13100;AIX-EN-PROVENCE;lagence@wanadoo.fr;04 42 26 93 93;04 42 26 79 03;www.lagence.fr;;;;
NDV;Thomas Cook Voyages;;15, cours Mirabeau;;11100;NARBONNE;narbonne@thomascook.fr;04 68 90 14 40;04 68 90 14 49;www.thomascook.fr;;;;
NDV;Wines & Châteaux;;15, impasse Groux;;92240;MALAKOFF;deravel.tanneguy@neuf.fr;01 47 36 75 24;01 47 36 67 51;www.winesandchateaux.com;;;;
NDV;A.T.M. Voyages;(Selectour);15, place Castil-Blaze;;84300;CAVAILLON;serge-atm@selectour.com;04 90 06 69 69;04 90 06 69 68;www.atm-voyages.fr;;;;
NDV;MS CONSEIL;;15, place d'Aligre;;75012;PARIS;ms.voyages@ms-conseils.com;01 55 78 23 01;01 55 78 23 02;;;;;
NDV;Passion Voyages;(Afat);15, place de la République;;34120;PEZENAS;passionvoyages@yahoo.fr;04 67 98 89 48;04 67 98 36 96;;;;;
NDV;SAT Voyages;(Tourcom);15, place des Allobroges;;74300;CLUSES;voyagessat-cluses@vianeo.com;04 50 98 14 56;04 50 96 44 61;;;;;
NDV;Mondial Evasion;(Tourcom);15, place des Terreaux;;69001;LYON;lyon@mondial-evasion.fr;04 78 29 54 54;04 78 28 22 58;www.mondial-evasion.fr;;;;
NDV;Voyages Montaine;;15, place du Général-de-Gaulle;;59000;LILLE;montaine.lille@wanadoo.fr;03 20 30 15 59;03 20 30 87 95;www.voyages-montaine.biz;;;;
NDV;Havas Voyages/Azur Voyages;;15, place Jean-Jaurès;;13140;MIRAMAS;miramas@voyazur.com;04 90 50 06 25;04 90 50 36 97;www.voyazur.com;;;;
NDV;Voyages Paris Normandie;(Manor);15, place Notre-Dame;;76270;NEUCHATEL-EN-BRAY;vpnneufchatel@vpn.fr;02 35 93 02 68;02 32 97 08 12;www.voyagesparisnormandie.com;;;;
NDV;Wasteels Voyages/Thomas Cook Voyages;;15, place Victor-Hugo;;93200;SAINT-DENIS;stdenis15@wasteels.fr;01 42 43 21 39;01 42 43 67 20;www.wasteels.fr;;;;
NDV;Thomas Cook Voyages;;15, quai Gabriel Péri;;83500;SEYNE-SUR-MER (LA);laseyne@thomascook.fr;04 94 11 51 21;04 94 94 83 00;www.thomascook.fr;;;;
NDV;Sud Vacances Voyages;(Selectour);15, quai L. Suquet;;34200;SETE;sudvacances@selectour.com;04 67 74 72 77;04 67 46 19 15;;;;;
NDV;Jollivet Voyages;(Afat);15, quai Lamartine;;35000;RENNES;lamartine@voyages-jollivet.com;02 99 78 46 98;02 99 78 46 99;;;;;
NDV;Teissier Voyages/Thomas Cook Voyages;;15, route Minervoise;;11000;CARCASSONNE;voyages.teissier@thomascookfr.com;04 68 71 78 10;04 68 71 78 19;www.teissier.fr;;;;
NDV;Nouvelles Frontières;;15, rue Achille René Boisneuf;;97110;POINTE-A-PITRE;pointapitre.nf@nouvelles-frontieres.fr;05 90 90 74 58;05 90 91 63 64;www.nouvelles-frontieres.fr;;;;
NDV;Espace Voyages Méditerranée;(Afat);15, rue André Michel;;34000;MONTPELLIER;espacevoyages2@wanadoo.fr;04 67 92 40 41;04 67 92 62 72;espacevoyages.afatvoyages.fr;;;;
NDV;Nouvelles Frontières;;15, rue André Saigne;;24000;PERIGUEUX;perigueux.nf@nouvelles-frontieres.fr;05 53 05 17 85;05 53 05 17 90;www.nouvelles-frontieres.fr;;;;
NDV;MZ Voyages;(Afat);15, rue Baratte Cholet;;94100;SAINT-MAUR;saintmaur@mzvoyages.fr;01 48 85 00 77;01 48 85 12 16;www.mzvoyages.fr;;;;
NDV;Voyazur Voyages;;15, rue Crébillon;;21710;NUITS-SAINT-GEORGES;voyazur@wanadoo.fr;03 80 61 03 86;03 80 61 03 07;;;;;
NDV;RAMBAUD VOYAGES;(Manor);15, rue de Caumartin;;75009;PARIS;info@rambaud-voyages.fr;01 49 24 08 07;01 49 24 03 62;www.rambaud-voyages.fr;;;;
NDV;BALTARD TOURISME 2001;(Tourcom);15, rue de Jouy;;75004;PARIS;baltard@wanadoo.fr;01 44 78 62 62;01 44 78 08 26;;;;;
NDV;MNV-Messageries Nationales;(Selectour);15, rue de la République;;07160;CHEYLARD (LE);mnv-lecheylard@selectour.com;04 75 29 74 74;04 75 29 74 70;www.mnv-voyages.com;;;;
NDV;Green Voyages;;15, rue de la Tour d'Auvergne;;29270;CARHAIX PLOUGUER;info@greenvoyages.com;02 98 93 00 18;02 98 93 35 55;www.greenvoyages.com;;;;
NDV;Havas Voyages/TVD;;15, rue de Liège;;56100;LORIENT;tvdlorient@pretapartir.fr;02 97 64 44 44;02 97 21 80 41;;;;;
NDV;HIKARI FRANCE;;15, rue de Monsigny;;75002;PARIS;11031946@wanadoo.fr;01 42 60 75 65;01 42 60 48 38;;;;;
NDV;Club Voyages;;15, rue de Paris;;78100;SAINT-GERMAIN-EN-LAYE;stgermainenlaye@clubvoyages.com;01 34 51 21 68;01 39 21 16 34;www.club-voyages.fr;;;;
NDV;Sportours/Jet Tours;(Tourcom);15, rue de Paris;;91100;CORBEIL-ESSONNES;sportours@wanadoo.fr;01 60 89 31 21;01 60 89 31 28;;;;;
NDV;PLB Organisation;;15, rue de Pontoise;;78100;SAINT-GERMAIN-EN-LAYE;p.leborgne@agence-plb.com;01 39 04 24 24;01 39 04 24 25;;;;;
NDV;Europe Tours Voyages;;15, rue de Saria;77700 Serris;77777;MARNE-LA-VALLEE;contact@europetours.fr;01 60 43 94 40;01 60 43 05 49;www.europetours.fr;;;;
NDV;Picardtour;(Selectour);15, rue des 3 Cailloux;;80000;AMIENS;picard-tour@selectour.com;03 22 71 33 33;03 22 71 33 34;;;;;
NDV;Royan Voyages/Thomas Cook Voyages;;15, rue des Bains;;17200;ROYAN;royan.voyages@thomascook.fr;05 46 05 22 00;05 46 05 83 82;;;;;
NDV;Club Med Voyages;;15, rue des Belges;;06400;CANNES;;04 93 68 75 30;04 93 68 97 00;www.clubmed.com;;;;
NDV;Nouvelles Frontières;;15, rue des Clercs;;57000;METZ;metz.nf@nouvelles-frontieres.fr;03 87 36 16 90;03 87 36 22 84;www.nouvelles-frontieres.fr;;;;
NDV;4T/Thomas Cook Voyages;;15, rue des Remises;;94100;SAINT-MAUR;saint.maur@thomascook.fr;01 45 11 75 20;01 45 11 75 29;;;;;
NDV;EVOLUTION VOYAGES;;15, rue Drouot;;75009;PARIS;info@evolutionvoyages.com;01 47 42 34 45;01 47 42 34 46;www.evolutionvoyages.com;;;;
NDV;Spinatour;;15, rue du Général de Gaulle;;88400;GERARDMER;spinatour.gerardmer@wanadoo.fr;03 29 63 33 40;03 29 60 93 56;;;;;
NDV;A Tire d'Ailes;;15, rue du Ml Galliéni;;78100;SAINT-GERMAIN-EN-LAYE;atirdail@orange.fr;01 45 02 10 48;01 45 02 14 84;;;;;
NDV;STEAM PLUS;;15, rue Erlanger;;75016;PARIS;stplus@steamplus.fr;01 45 25 09 47;01 40 50 98 88;www.steam-plus.fr;;;;
NDV;Pamiers Voyages;(Selectour);15, rue Gabriel Péri;;09100;PAMIERS;pamiers-voyages@selectour.com;05 61 67 37 07;05 61 67 75 75;;;;;
NDV;Drakkar Evasion;(Afat);15, rue Georges Clémenceau;;14700;FALAISE;drakkar-evasion-afat@wanadoo.fr;02 31 41 60 80;02 31 41 60 81;www.drakkarevasion.com;;;;
NDV;AUTHENTIC TRAVEL;;15, rue Guy de la Brosse;;75005;PARIS;authentic_tourisme@yahoo.fr;01 43 31 07 10;01 43 31 06 08;;;;;
NDV;Land's Cap;;15, rue Hoche;;78000;VERSAILLES;lands-cap@wanadoo.fr;01 39 07 48 97;01 39 07 48 99;;;;;
NDV;Thomas Cook Voyages;;15, rue Houdan;;92330;SCEAUX;sceaux@thomascook.fr;01 41 87 01 27;01 47 02 45 25;www.thomascook.fr;;;;
NDV;HAVAS VOYAGES/MONCEAU VOYAGES;;15, rue La Fayette;;75009;PARIS;parislafayette@havas-voyages.fr;01 53 20 18 88;01 53 20 18 89;;;;;
NDV;Emeraude Voyages Evasion;(Afat);15, rue Lejamptel;;35120;DOL DE BRETAGNE;dol@bellier-voyages.com;02 99 48 37 27;02 99 48 37 30;;;;;
NDV;Numidia Travel Services;;15, rue Louis Pasteur;;68100;MULHOUSE;numidiatravel@orange.fr;03 89 45 77 77;03 89 56 18 96;www.numidiatravelservices.com;;;;
NDV;Voyages Club/Thomas Cook Voyages;;15, rue Malseigne;;25120;MAICHE;thomascook.maiche@wanadoo.fr;03 81 64 08 78;03 81 64 25 40;;;;;
NDV;ANA SALES FRANCE;;15, rue Marsollier;;75002;PARIS;info@anatours.co.uk;01 43 12 86 86;01 43 12 86 80;www.hallojapon.com;;;;
NDV;STAR TRAVEL INTERNATIONAL;;15, rue Marx Dormoy;;75018;PARIS;info@startravel.fr;01 40 34 11 12;01 40 34 11 13;www.startravel.fr;;;;
NDV;TSELANA TRAVEL;;15, rue Monsigny;;75002;PARIS;info@tselana.com;01 55 35 00 30;01 42 60 09 88;www.tselana.com;;;;
