licence;iata;agence;Réseau;adresse;adresse2;adresse3;adresse4;BP;cp;ville;email;tel;fax;web;Contacts;;;;;;;;;
044000007;;Franklin Voyages;(Afat);2, rue Franklin;;;;;44000;NANTES;franklin.voyages@wanadoo.fr;02 40 73 77 02;02 40 69 83 41;;Chef d'agence;Grenet Franck;;;;;;;;
031950034;;Univers d'Afrique et le Monde;;2, rue Gabriel Péri;;;;;31000;TOULOUSE;univers.af@wanadoo.fr;05 62 73 72 00;05 61 99 27 27;;Directeur;Gayraud Pierre;;;;;;;;
75990098;;Carlson Wagonlit Voyages;;2, rue Georges Maertens;;;;;59000;LILLE;ag.ltlille.maertens@carlsonwagonlit.fr;0 826 825 502;0 826 825 602;;;;;;;;;;;
45950002;;Delta Voyages;;2, rue Girodet;;;;;45000;ORLEANS;delgroup@deltavoyages.fr;02 38 24 09 00;02 38 54 51 56;;Chef d'agence;Beluet Denis;;;;;;;;
37030001;;Authentic Tours;;2, rue Guillaume-Louis;;;;;37250;MONTBAZON;info@authentic-tours.com;02 47 73 23 30;;www.authentic-tours.com;;;;;;;;;;
013080019;;Ylang Voyages;;2, rue Henri Crest;;;;;13015;MARSEILLE;rebatel.ylangvoyages@gmail.com;04 91 69 44 03;04 91 69 44 03;;;;;;;;;;;
051960002;;Loire Valley Travel;;2, rue Jean Moulin;;;;;41000;BLOIS;info@loire-valley-travel.com;02 54 78 62 52;02 54 78 42 19;www.randovelo.fr;Chef d'agence;Bigot-Mauger Brigitte;;;;;;;;
025960002;20273562;Voyages Club/Thomas Cook Voyages;;2, rue Jean-Moulin;;;;;25300;PONTARLIER;thomascook.pontarlier@wanadoo.fr;03 81 46 64 81;03 81 39 14 24;;;;;;;;;;;
054080001;;Havas Voyages/TVD;;2, rue Joseph le Brix;;;;;56000;VANNES;tvdvannes@pretapartir.fr;02 97 42 40 54;02 97 42 56 62;;;;;;;;;;;
085960006;;Océan Voyages;(Afat);2, rue Lafayette;;;;BP 704 ;85000;ROCHE-SUR-YON (LA);ocvlr@nerim.net;02 51 24 13 62;02 51 24 13 64;;;;;;;;;;;
17980003;20234196;E. Leclerc Voyages;;2, rue Lavoisier;;;;;17200;ROYAN;royan@leclercvoyages.com;05 46 05 88 04;05 46 05 41 84;www.leclercvoyages.com;Directeur;Houllier Valérie;;;;;;;;
084060006;;Havas Voyages/Cool Travel;;2, rue le Titien;;;;;84000;AVIGNON;avignon@havas-voyages.fr;04 90 87 19 64;04 90 87 19 16;;;;;;;;;;;
056970002;;Voyages Rouxel Lambert;;2, rue Lesage;;;;;56000;VANNES;voyagesrouxel-lambert@wanadoo.fr;02 97 68 35 30;02 97 68 35 77;;Directeur;Lambert Annick;Directeur;Rouxel Jean-Claude;;;;;;
093970008;;Tourisme et Voyages Vairon;(Selectour);2, rue Maryse Bastie;;;;;93120;COURNEUVE (LA);;01 49 92 63 06;01 49 92 63 01;;;;;;;;;;;
33960037;;Aldabra Voyages;;2, rue Masson;;;;;33000;BORDEAUX;aldabra@wanadoo.fr;05 56 08 59 59;05 56 17 00 69;;Directeur;Cottin Fabienne;;;;;;;;
075990050;;VOYAGES A LA UNE;;2, rue Meissonier;;;;;75017;PARIS;info@voyages-a-la-une.com;01 40 54 99 20;01 40 54 99 65;www.voyages-a-la-une.com;Directeur;Ple Denis;;;;;;;;
092950011;;Thomas Cook Voyages;;2, rue Molière;;;;BP 3008 ;38000;GRENOBLE;grenoble.moliere@thomascook.fr;04 76 85 54 50;04 76 46 06 57;;Chef d'agence;Cohen Richard;;;;;;;;
036010001;20290512;Nouvelles Frontières/Doucet Voyages;;2, rue Moyenne;;;;;18000;BOURGES;bourges.nf@nouvelles-frontieres.fr;02 48 24 54 07;02 48 70 44 36;www.nouvelles-frontieres.fr;Directeur;Doucet Sébastien;;;;;;;;
077980008;;Promosport International;;2, rue P.H. Spaak;;;;;77400;LAGNY-SUR-MARNE;luc.caillaud@promosport.fr;01 60 07 97 98;01 64 12 10 04;www.promosport.fr;Chef d'agence;Caillaud Sylvie;Chef d'agence;Caillaud Luc;Directeur commercial;Stachulec Anna;;;;
075050003;20225844;Ludovic Tourisme;(Manor);2, rue Pierre Toesca;;;;;83150;BANDOL;bandol@jancarthier.fr;04 94 25 03 03;04 94 25 04 04;;Chef d'agence;Ortega Dorella;;;;;;;;
092960050;;VSO;(Tourcom);2, rue Rouget de l 'Isle;;;;;92130;ISSY-LES-MOULINEAUX;vso@aso.fr;01 41 33 14 85;01 41 33 14 86;;Directeur;Avigo Laurence;;;;;;;;
061950004;;Voyages Piel/Vision du Monde;;2, rue Saint Germain;;;;;61100;FLERS DE L'ORNE;flers@voyages-piel.com;02 33 96 69 80;02 33 96 69 81;www.voyages-piel.fr;;;;;;;;;;
056960012;;Jouanno Evasion/Ambassade Fram;(Afat);2, Rue Saint Vincent;;;;;56370;SARZEAU;sarzeau@jouanno-evasion.com;02 97 48 22 40;02 97 48 22 53;;;;;;;;;;;
038970003;;Mondalisa;(Tourcom);2, Square du Dr Léon Martin;;;;;38000;GRENOBLE;contact@mondalisa.com;04 76 87 34 12;04 76 47 48 64;;;;;;;;;;;
091950009;20228961;Voyages Carrefour;;2/16, route Cernay;;;;BP 2766 ;51100;REIMS;carrefour_voyages_reims_cernay@carrefour.com;03 26 35 81 89;03 26 35 81 90;www.voyagescarrefour.com;;;;;;;;;;
59960026;;Cap 5;(Manor);20 bis, place du Général de Gaulle;;;;;59000;LILLE;cap5@cap5.com;03 20 06 30 30;0 820 35 09 35;;Chef d'agence;Crepel Valérie;;;;;;;;
053970001;;Mondia Langues Voyages;;20 quai Jéhan Fouquet;;;;BP 0932 ;53000;LAVAL;mondialangues.53@wanadoo.fr;02 43 53 54 17;02 43 49 20 27;;Chef d'agence;McCarthy Keiran;;;;;;;;
79960003;20231584;Brochard Voyages;(Selectour);20, av. Bujault;;;;BP 164 ;79000;NIORT;brochard-niort@selectour.com;05 49 28 13 13;05 49 28 20 67;;Directeur;Brochard Georges;;;;;;;;
;20224245;Jet Travel Monaco;(Manor);20, av. de Fontvieille;Le Coronado;;;;98000;MONACO;info@jet-travel.com;(377) 97 98 41 10;(377) 97 98 41 20;www.jet-travel.com;Directeur;Spinetta Maurizio;;;;;;;;
006950029;20202910;Grand Large Voyages;(Selectour);20, av. de Nice;;;;;06800;CAGNES-SUR-MER;cagnes@grand-large-voyages.fr;04 92 02 42 52;04 93 20 36 48;;Directeur;Bousquet-Jacquemin Janie;;;;;;;;
035960005;;Perrin Voyages;(Afat);20, av. de Razilly;;;;;53200;CHATEAU-GONTIER;gontier@perrinvoyages.com;02 43 09 68 70;02 43 09 68 71;;;;;;;;;;;
029950002;20218715;Sterne Voyages;;20, av. du Dr Nicolas;;;;BP 527 ;29110;CONCARNEAU;sterne.voyages@orange.fr;02 98 97 50 55;02 98 50 54 88;www.sterneloisirs.com;Directeur;Perrot Catherine;;;;;;;;
007950002;;Tourisme et Voyages;(Tourcom);20, av. du Mal Foch;;;;;07300;TOURNON;tourisme.voyages.groupe@wanadoo.fr;04 75 08 40 71;04 75 08 15 12;www.tourismevoyages.com;Directeur;Vernet Jean;;;;;;;;
083040003;;Les Voies du Monde;(Afat);20, av. Gambetta;;;;;83500;SEYNE-SUR-MER (LA);lesvoiesdumonde@wanadoo.fr;04 94 46 31 50;04 94 29 50 13;;;;;;;;;;;
093060011;20213421;Wasteels Voyages/Thomas Cook Voyages;;20, av. Maréchal Foch;;;;;21000;DIJON;dijon@wasteels.fr;03 80 41 81 94;03 80 45 81 48;www.wasteels.fr;Chef d'agence;Routaboul Astrid;;;;;;;;
93950004;20216733;Carol'Voyages;(Selectour);20, av. Victor-Hugo;;;;;93320;PAVILLONS-SOUS-BOIS;pavillon@carol-voyages.com;01 48 48 51 55;01 48 02 06 47;www.carol-voyages.com;Directeur;Opagiste Guy;;;;;;;;
049950006;20241060;Havas Voyages/Angers Voyages;;20, bd Foch;;;;;49000;ANGERS;angersfoch@havas-voyages.fr;02 41 24 68 68;02 41 24 68 69;;;;;;;;;;;
75020048;;Barbes Tours;;20, bd Jean Jaurès;;;;;92110;CLICHY;barbestours@yahoo.fr;01 40 87 01 01;01 45 19 03 44;;;;;;;;;;;
075030062;;MANGENTOURS;(Tourcom);20, bd Magenta;;;;;75010;PARIS;magentours@yahoo.fr;01 40 03 90 00;01 40 03 90 01;;;;;;;;;;;
69050008;;Ailleurs;(Afat);20, bd Mal Fayolle;;;;;43000;PUY-EN-VELAY (LE);le-puy@ailleurs.com;04 71 02 71 02;04 71 02 66 00;www.ailleurs.com;Chef d'agence;Jaffeux Marielle;;;;;;;;
;20203153;Monaco Congrès et Tourisme;(Afat);20, bd Princesse Charlotte;;;;;98000;MONACO;monaco.congres.tourisme@afatvoyages.fr;(377) 93 25 55 55;(377) 93 30 53 31;www.monacocongres.com;;;;;;;;;;
075990025;20255373;TOURCOM;;20, boulevard Montmartre;;;;;75009;PARIS;tourcom@tourcom.fr;01 44 70 02 02;01 44 70 08 00;www.tourcom.fr;;;;;;;;;;
69040008;;3 MI;;20, chemin de Gruges;;;;;69210;BULLY;incentives@wanadoo.fr;04 78 83 17 54;04 78 85 30 52;www.3mi@incentives.com;;;;;;;;;;
013960039;20203665;Orsud Comex;(Manor);20, Chemin du Roy d'Espagne;;;;;13009;MARSEILLE;orsud.oceans@wanadoo.fr;04 91 40 06 79;04 91 40 45 64;www. orsud.fr;PDG;Cluis Renaud;Chef d'agence;Scotto Pascale;;;;;;
051000001;;Le Beau Voyage/Jet Tours;;20, Espace d'Erlon;;;;;51100;REIMS;lebeauvoyageespacejettours@voila.fr;03 26 40 26 30;03 26 40 69 39;;Chef d'agence;Defraeye Christine;;;;;;;;
093050008;;Nouvelles Frontières;;20, Grande Rue;;;;;95290;L'ISLE ADAM;lisleadam.nf@nouvelles-frontieres.fr;01 34 69 36 70;01 34 69 24 97;www.nouvelles-frontieres.fr;;;;;;;;;;
092950011;;Thomas Cook Voyages;;20, La Canebière;;;;;13001;MARSEILLE;marseille.canebiere@thomascook.fr;04 96 11 26 26;04 91 54 48 46;;;;;;;;;;;
16950007;20238923;Cognac Voyages/Jet Tours;(Afat);20, place Bayard;;;;;16100;COGNAC;afat.cognacvoyages@wanadoo.fr;05 45 82 83 02;05 45 82 31 03;cognacvoyages.fr;Directeur;Bourdelaud Lucrèce;;;;;;;;
029080001;20212124;Iroise Voyages;(Selectour);20, place Charles-de-Gaulle;;;;;29600;MORLAIX;iroise-voyages@selectour.com;02 98 62 16 55;02 98 63 48 40;;Directeur;Hamon Alain;;;;;;;;
65980001;;Chronotours;(Tourcom);20, place de Strasbourg;;;;;65200;BAGNERES-DE-BIGORRE;info1@chronotours.com;05 62 91 01 65;05 62 95 22 85;www.chronotours.com;Directeur;Cazelles Jean-Paul;;;;;;;;
092950011;20240824;Thomas Cook Voyages;;20, place du Mirailh;;;;BP 57 ;40100;DAX;dax@thomascook.fr;05 58 90 19 28;05 58 56 09 33;www.thomascook.fr;;;;;;;;;;
075950433;20240555;Galeries Lafayette Voyages;;20, place G. Clémenceau;;;;BP 278 ;64000;PAU;vmasselin@carlsonwagonlit.fr;05 59 98 50 40;05 59 98 50 44;;Chef d'agence;Masselin Vanessa;;;;;;;;
033000005;20239822;Habib Voyages;;20, place Meynard;;;;;33000;BORDEAUX;habib-voyages@vianeo.com;05 56 31 31 50;05 56 94 33 39;www.habibvoyages.fr;Directeur;Mazhouda Habib;;;;;;;;
60020001;20248163;Amazone Voyages;(Tourcom);20, place Omer Vallon;;;;;60500;CHANTILLY;amazone.voyages@wanadoo.fr;03 44 57 13 40;03 44 58 10 34;;Chef d'agence;Hallyg Audrey;;;;;;;;
083990003;;Tendance Voyages;(Tourcom);20, place Pierre Coullet;;;;;83700;SAINT-RAPHAEL;straphael@tendance-voyages.com;04 98 11 04 90;04 98 11 04 91;www.tendance-voyages.com;Directeur;Laurent Marianne;;;;;;;;
093050008;;Nouvelles Frontières;;20, quai de la Poterne;;;;;71100;CHALON-SUR-SAONE;chalon.nf@nouvelles-frontieres.fr;03 85 48 31 60;03 85 48 26 28;www.nouvelles-frontieres.fr;Chef d'agence;Fischer Cécile;;;;;;;;
069960012;;Les Exceptions Voyages;;20, quai Saint-Antoine;;;;;69002;LYON;lyon@lesexceptions.com;04 72 56 03 03;04 78 38 16 17;www.lesexceptions.com;;;;;;;;;;
57000008;20246656;E. Leclerc Voyages;;20, route d'Arlon;Z.I Linkling 3;;;;57100;THIONVILLE;thionville@leclercvoyages.com;03 82 59 50 10;03 82 59 50 11;www.leclercvoyages.com;Chef d'agence;Palazzo Sylvia;;;;;;;;
013960038;;MRB Voyages Culturels;;20, rue Beauvau;;;;;13001;MARSEILLE;mrbvoyagesculturels@wanadoo.fr;04 91 55 04 40;04 91 33 54 21;;Directeur;Reboisson Michel;;;;;;;;
075980033;;VOYAGES SITES ET VALEUR;;20, rue Beranger;;;;;75003;PARIS;sites.et.valeur@wanadoo.fr;01 48 04 03 57;01 48 04 54 59;;Directeur;Vernoux Francine;;;;;;;;
75000056;;ELIZA LES AILES DU VOYAGE;;20, rue Bois Levant;;;;;75016;PARIS;elizagfps@wanadoo.fr;01 40 50 60 61;01 40 50 61 62;;;;;;;;;;;
093050008;;Nouvelles Frontières;;20, rue Bourbon;;;;;86100;CHATELLERAULT;chatellerault.nf@nouvelles-frontieres.fr;05 49 21 70 16;05 49 23 55 82;www.nouvelles-frontieres.fr;;;;;;;;;;
092950011;20287046;Thomas Cook Voyages;;20, rue Carnot;;;;;77000;MELUN;melun@thomascook.fr;01 64 79 71 80;01 64 39 24 50;www.thomascook.fr;;;;;;;;;;
69050008;;Ailleurs;(Afat);20, rue Centrale;;;;;38260;COTE SAINT ANDRE (LA);cote-st-andre@ailleurs.com;04 74 20 42 53;04 74 20 42 68;www.ailleurs.com;;;;;;;;;;
44040002;;Club Voyages;;20, rue Contrescarpe;;;;;44000;NANTES;nantes.contrescarpe@clubvoyages.com;02 40 35 25 25;02 40 35 23 36;;Chef d'agence;Le Moil Christelle;;;;;;;;
072950006;;LeMansLeMonde/Jet Tours;(Afat);20, rue Courthady;;;;;72000;MANS (LE);jettours.lemans@wanadoo.fr;02 43 52 05 50;02 43 14 23 99;;Directeur;Bedouet Catherine;;;;;;;;
075950508;;MAISON DE SAVOIE;;20, rue Croix des Petits Champs;;;;;75001;PARIS;;01 44 86 04 60;01 42 61 23 16;www.destination-savoies.com;;;;;;;;;;
29050002;;Chantreau Holidays/Salaün Holidays;;20, rue de la Paix;;;;;44000;NANTES;nantes.decre@salaun-holidays.com;02 51 82 41 41;02 51 82 45 84;;Chef d'agence;Saplana Raphaële;;;;;;;;
042950002;;Just Voyages;;20, rue de la Paix;;;;;42700;FIRMINY;;04 77 40 05 05;04 77 40 05 06;www.voyagesjust.com;;;;;;;;;;
038950001;;Tureia - Consult Voyages;(Tourcom);20, rue de la Poste;;;;;38000;GRENOBLE;grenoble@consult-voyages.com;04 76 86 21 21;04 76 56 98 58;;Directeur;Dadoy Annie;Chef d'agence;Fillet Delphine;;;;;;
010960011;20212043;Transgallia;(Afat);20, rue de la République;;;;BP 140 ;10000;TROYES;infos@transgallia.com;03 25 43 40 40;03 25 73 72 92;;;;;;;;;;;
97950011;66200282;Euro Voyages Réunion;;20, rue de l'Est;;;;;97400;SAINT-DENIS;eurovoyages@wanadoo.fr;02 62 21 89 00;02 62 41 30 00;;Chef d'agence;Moutoussamy Roseline;;;;;;;;
068950015;;Lesage Voyages;;20, rue de Verdun;;;;;67600;SELESTAT;selestat@voyages-lesage.com;03 88 58 40 70;03 88 58 40 78;www.voyages-lesage.com;Chef d'agence;Rossi Chrystelle;;;;;;;;
029960003;;Pollen;;20, rue Denver;;;;;29200;BREST;pollen-voyage@wanadoo.fr;02 98 44 47 00;02 98 44 06 25;;Gérant;Leroyer Geneviève;;;;;;;;
75950333;;Club Med Voyages;;20, rue des Forges;;;;;21000;DIJON;;03 80 30 77 32;03 80 30 16 89;www.clubmed.com;Chef d'agence;Sanchez Patricia;;;;;;;;
075950476;;LES VOYAGES DU PHARAON;;20, rue des Fossés Saint Bernard;;;;;75005;PARIS;;01 43 29 36 36;01 43 54 62 26;;;;;;;;;;;
009950004;20252072;Pyrène Voyages;(Afat);20, rue des Marchands;;;;;09000;FOIX;pyrene-foix@afatvoyages.fr;05 61 65 20 08;05 61 65 20 36;www.pyrenevoyages.com;;;;;;;;;;
75990011;;EFES VOYAGES;;20, rue des Petites Ecuries;;;;;75010;PARIS;;01 53 34 00 22;01 53 34 01 28;;Directeur;Ileri Sultan;;;;;;;;
69950050;;AVENTURIA;;20, rue des Pyramides;;;;;75001;PARIS;parisopera@aventuria.com;01 44 50 58 40;01 44 50 58 41;;;;;;;;;;;
007950007;;Ginhoux Voyages;;20, rue des Trois Faucons;;;;;84000;AVIGNON;avignon@ginhoux.com;04 90 85 54 00;04 90 14 99 40;www.ginhoux.com;Directeur;Ginhoux Florence;;;;;;;;
75960022;20282964;ALLEES VENUES;(Manor);20, rue du G Bertrand;;;;;75007;PARIS;agence@alleesvenues.fr;01 53 58 45 00;01 53 58 45 19;;Président;Bivon-Ado Pascale;;;;;;;;
78000002;20237361;Excellent Voyage;(Selectour);-20, rue du Général Clavery;;;;BP 40053 ;78110;VESINET (LE);;01 30 09 22 32;01 30 09 22 33;;Directeur;Le Pourhiet Nathalie;;;;;;;;
071960006;20284353;Voyages Girardot;(Selectour);20, rue du Mal Foch;;;;;71200;CREUSOT (LE);selectour-lecreusot@voyages-girardot.com;03 85 73 00 35;03 85 73 00 39;;Chef comptable;Chevrier Denis;Directeur;Girardot Pascal;Directeur commercial;Hervieu Emmanuelle;Chef d'agence;Suchaut Véronique;;
29950017;20211284;Bretagne Voyages;(Selectour);20, rue du Parc;;;;BP 1637 ;29000;QUIMPER;bretagne-voyages@selectour.com;02 98 95 61 24;02 98 95 68 32;;Directeur;Legendre Philippe;;;;;;;;
31960008;20223044;Amplitudes;(Afat);20, rue du Rempart St Etienne;;;;;31000;TOULOUSE;contact@amplitudes.com;05 62 30 17 77;05 62 30 17 78;www.amplitudes.com;Directeur;Martinez José;;;;;;;;
025040001;;Mis Voyages;(Tourcom);20, rue Jules Jeanneney;;;;;70300;LUXEUIL-LES-BAINS;mis.voyages.lux@wanadoo.fr;03 84 40 07 68;03 84 40 21 67;;;;;;;;;;;
093050008;;Nouvelles Frontières;;20, rue La Bourdonnais;;;;;97400;SAINT-DENIS;stdenis@nouvelles-frontieres.fr;02 62 46 06 26;02 62 20 27 85;www.nouvelles-frontieres.fr;Chef d'agence;Torqueo Armelle;;;;;;;;
075950594;;KEITH PROWSE;;20, rue Laffitte;;;;;75009;PARIS;paris@keithprowse.com;01 42 81 88 88;01 42 81 88 89;www.keithprowse.fr;Chef d'agence;Muller Liliane;;;;;;;;
47950001;;Atlas Voyages;(Afat);20, rue Leopold Faye;;;;;47200;MARMANDE;atlas.marmande@wanadoo.fr;05 53 89 29 29;05 53 89 69 53;;;;;;;;;;;
974950002;66217255;Bourbon Voyages;(Selectour);20, rue Marius et Ary Leblond;;;;;97410;SAINT-PIERRE;bourbon.s-pierre@travel-run.com;02 62 96 19 19;02 62 25 11 97;;Chef d'agence;Chung To Sang Marguerite;;;;;;;;
018960006;;Waticar/Ambassade Fram;;20, rue Nationale;;;;;18200;SAINT-AMAND;contact@waticar.fr;02 48 96 90 93;02 48 96 90 94;www.waticar.com;Directeur;Barre Moreaux Christelle;;;;;;;;
29060003;;Amarys Découvertes;;20, rue Paul Sérusier;;;;;29520;CHATEAUNEUF-DU-FAOU;dominique@amarys-découvertes.com;02 98 73 24 59;;www.amarys-découvertes.com;;;;;;;;;;
075960067;;JANCARTHIER VOYAGES;(Manor);20, rue Singer;;;;;75016;PARIS;singer@jancarthier.fr;01 42 88 96 50;01 45 24 21 70;;Chef d'agence;Cohen Joyce;;;;;;;;
071960006;20242143;Voyages Girardot;(Selectour);20, rue St Désiré;;;;;39000;LONS-LE-SAUNIER;selectour-lons@voyages-girardot.com;03 84 86 14 40;03 84 86 14 44;;Directeur;Girardot Pascal;;;;;;;;
092950011;20211962;Thomas Cook Voyages;;20, rue St-Jacques;;;;;59200;TOURCOING;tourcoing@thomascook.fr;03 20 69 19 50;03 20 36 98 29;www.thomascook.fr;;;;;;;;;;
075950062;;GLOBUS/STE DE SERVICES TOURISTIQUES;;20, rue Thérèse;;;;;75001;PARIS;globus.sst@wanadoo.fr;01 49 26 03 02;01 49 26 93 63;;Directeur;Kirschleger Petra;;;;;;;;
090950002;20252470;Mosaic Voyages;;20, rue Thiers;;;;BP 364 ;90000;BELFORT;belfort@voyages-mosaic.com;03 84 46 69 60;03 84 57 07 90;www.voyages-mosaic.com;Directeur;Leclerc Jean-Luc;;;;;;;;
6990001;20233776;Agétours Voyages;(Selectour);20, rue Verdi;;;;;6000;NICE;agetours@gmail.com;04 93 82 00 24;04 93 82 50 04;www.cmonvoyage.com;Directeur;Perezparlato Jean-Pierre;;;;;;;;
013960039;20238400;Orsud Onet;(Manor);20, traverse de Pomègues;;;;;13008;MARSEILLE;orsud.onet@wanadoo.fr;04 91 73 79 28;04 91 73 79 75;www. orsud.fr;PDG;Cluis Renaud;Chef d'agence;Scotto Pascale;;;;;;
51060002;;CD Voyages;;200, av Jean Jaurès;;;;;51100;REIMS;cd.voyages@wanadoo.fr;03 26 35 30 19;03 26 35 43 01;www.promotionsurlesvoyages.com;;;;;;;;;;
075950573;20246903;lbérolines;(Tourcom);201, av. Maurice-Thorez;;;;;94500;CHAMPIGNY;champigny@iberolines.com;01 48 80 73 10;01 48 80 19 88;;Directeur;Beato Carlos;;;;;;;;
85010001;;Espace Langues et Découvertes;;201, rue Colbert;Centre Vauban;;;;59000;LILLE;contact@voyages-eld.com;03 28 38 18 73;03 28 38 18 74;www.voyages-eld.com;;;;;;;;;;
29060002;;E. Leclerc Voyages;;201, rue de Pont Aven;;;;;29130;QUIMPERLE;quimperle@leclercvoyages.com;02 98 96 12 92;02 98 96 16 52;www.leclercvoyages.com;Chef d'agence;Blanchard Karine;;;;;;;;
075030001;;INTERCONTI;;202, av. Jean Jaurès;;;;;75019;PARIS;interconti@wanadoo.fr;01 48 03 07 19;;;;;;;;;;;;
69050008;;Ailleurs;(Afat);20-22, rue Carnot;;;;;84000;AVIGNON;avignon@ailleurs.com;04 90 16 41 64;04 90 16 41 65;www.ailleurs.com;;;;;;;;;;
092950052;;Maritz Travel;;20-26 bd du Parc;Ile de la Grande Jatte;;;;92200;NEUILLY-SUR-SEINE;contact@grgfrance.com;01 41 16 20 80;01 41 16 20 91;;PDG;Coq Xavier;;;;;;;;
036950002;;Joubert Evasion;;203, av. d'Argenton;;;;;36000;CHATEAUROUX;joubert.evasion@club-internet.fr;02 54 22 56 60;02 54 34 61 99;;;;;;;;;;;
75950332;20278580;DAUMESNIL VOYAGES;(Selectour);203, av. Daumesnil;;;;;75012;PARIS;daumesnil-203@selectour.com;01 43 43 98 99;01 43 07 77 44;;;;;;;;;;;
75060060;20213690;Carlson Wagonlit Voyages;;203, route de Lyon;;;;;67400;ILLKIRCH GRAFFENSTADEN;ag.ltillkirch@carlsonwagonlit.fr;03 88 55 36 40;03 88 55 36 41;;Chef d'agence;Weber Sandrine;;;;;;;;
064950020;;Voyages 4A;;203, rue des Artisants;Z.I Jalday;;;BP 126  ;64500;SAINT-JEAN-DE-LUZ;voyages4a@voyages4a.com;05 59 23 90 37;05 59 64 85 31;www.voyages4a.com;Directeur commercial;Louis Thierry;;;;;;;;
006960024;20236790;Jet Com;(Tourcom);205, av. de la Californie;;;;;06000;NICE;jetcomvoyages@wanadoo.fr;04 93 71 31 31;04 93 21 11 08;;;;;;;;;;;
073950008;20216232;Savoie Evasion/Thomas Cook Voyages;;205, av. de la Gare;;;;;38530;PONTCHARRA;pontcharra@thomascookfr.com;04 76 97 75 02;04 76 97 76 91;;Chef d'agence;Sergi Jean-Marc;;;;;;;;
69060007;;Elles Voyages;(Tourcom);205, av. Franklin Roosevelt;;;;;69500;BRON;ellesvoyages@wanadoo.fr;04 72 15 81 47;04 72 15 07 33;;;;;;;;;;;
69050008;;Ailleurs;(Afat);205, Grande Rue;;;;;1120;MONTLUEL;montluel@ailleurs.com;04 78 06 34 59;04 78 06 59 93;www.ailleurs.com;;;;;;;;;;
006950004;;VIP Riviera Service;;205, promenade des Anglais;;;;;06000;NICE;riviera@euromic.com;04 93 44 22 33;04 93 37 49 93;www.vip-riviera-service.com;Directeur;Holt Ralph;;;;;;;;
075970075;;SOUNDAR TRAVELS;;207, rue du Fg St-Denis;;;;;75010;PARIS;soundar.travels@wanadoo.fr;01 42 05 31 87;01 42 05 85 75;www.soundartravels.com;Directeur;Soundar Radjane;;;;;;;;
75980001;;EVA TRAVELS;;208 bis, rue du Fg St-Denis;;;;;75010;PARIS;evatravels@vianeo.com;01 40 37 22 00;01 40 37 48 20;;;;;;;;;;;
095960018;20296205;VOYAGES ESCALE;(Selectour);208, av. du Maine;;;;;75014;PARIS;voyages-lescale@selectour.com;01 40 52 13 90;01 45 41 73 30;;Directeur;Couturier Dominique;Chef d'agence;Marie Annick;;;;;;
075950433;20202280;Galeries Lafayette Voyages;;209, bd Pinel;;;;;69500;BRON;jpiccato@carlsonwagonlit.fr;04 78 76 48 30;04 78 00 03 92;;Chef d'agence;Piccato Jean;;;;;;;;
075960130;;SADER VOYAGES;;209, rue St-Maur;;;;;75010;PARIS;sadervoyages@wanadoo.fr;01 42 45 54 54;01 42 45 27 97;;Directeur;Sader Mr;;;;;;;;
90040001;;Chri's Voyages;;21 bis, rue de Belfort;;;;;90800;BAVILLIERS;chri.s.voyages@cegetel.net;03 84 54 34 01;03 84 26 63 93;;;;;;;;;;;
84990001;20228773;Autres Mondes;(Afat);21 bis, rue des Trois Faucons;;;;;84000;AVIGNON;agence@autres-mondes.com;04 90 82 77 58;04 90 82 76 45;;Directeur;Nomdedeu Eric;;;;;;;;
093060007;20204041;Neuilly Voyages 93/Thomas Cook Voyages;;21 bis, rue du Général-de-Gaulle;;;;;93360;NEUILLY PLAISANCE;neuilly-voyages@orange.fr;01 43 00 53 58;01 43 00 68 56;;Directeur;Rebboah José;;;;;;;;
31020005;20248421;Actua Voyages;(Afat);21, allée du Roussillon;;;;;31770;COLOMIERS;info@actuavoyages.fr;05 61 30 96 96;05 61 30 96 99;www.actuavoyages.fr;Directeur;Puyol Myriam;;;;;;;;
093050008;;NOUVELLES FRONTIERES;;21, av. des Gobelins;;;;;75005;PARIS;paris-gobelins.nf@nouvelles-frontieres.fr;01 45 87 67 90;01 45 87 67 95;;Chef d'agence;Souidi Khalida;;;;;;;;
75980014;;AZOTE VOYAGES;(Tourcom);21, av. d'Italie;;;;;75013;PARIS;azotevoyages@freesurf.fr;01 42 16 88 88;01 44 24 52 80;azotevoyages.tourcom.fr;Directeur;Smadja Eric;;;;;;;;
75960012;20232483;ANIMATOURS;(Afat);21, av. du Bel Air;;;;;75012;PARIS;animatours@freesurf.fr;01 49 28 07 77;01 49 28 09 39;;;;;;;;;;;
075050003;20242563;Ludovic Tourisme;(Manor);21, av. du Général-de-Gaulle;;;;;83320;CARQUEIRANNE;carqueiranne@jancarthier.fr;04 94 12 95 95;04 94 12 95 55;;Chef d'agence;Rosello Geneviève;;;;;;;;
094960004;20242213;Saint-Léger Voyages;(Tourcom);21, av. Emile Zola;;;;;94100;SAINT-MAUR;info@saintlegervoyages.fr;01 48 89 89 89;01 48 89 89 90;www.saintlegervoyages.fr;Directeur;Garant Serge;;;;;;;;
81950001;20217190;Albi Voyage;(Selectour);21, av. Gambetta;;;;;81000;ALBI;albi-voyage@selectour.com;05 63 49 46 56;05 63 38 98 75;www.selectour.com;;;;;;;;;;
